Titolo,Autore,Pagine,Codice
Nuova Enciclopedia Universale Rizzoli Larousse Vol. XX,Giovanni Ungarelli.,832 p.,1.7 234
Nuova Enciclopedia Universale Rizzoli Larousse : Vol. XX I,Giovanni Ungarelli.,544 p.,1.7 235
Nuova Enciclopedia Universale Rizzoli Larousse Vol. XXII,Giovanni Ungarelli.,383 p.,1.7 236
Nuova Enciclopedia Universale Rizzoli Larousse Vol. XXIII,Giovanni Ungarelli.,383 p.,1.7 237
Nuova Enciclopedia Universale Rizzoli Larousse Vol. XXIV,Giovanni Ungarelli.,384 p.,1.7 238
Nuova Enciclopedia Universale Rizzoli Larousse Vol. XXV,Giovanni Ungarelli.,384 p.,1.7 239 Scansionato con CamScanner
Nuova Enciclopedia Universale Rizzoli Larousse : Vol. XXVI,Giovanni Ungarelli.,383 p.,1.7 240
Storia d'Italia : Atlante Immagini e numeri dell'Italia,"Ruggiero Romano , Corrado Vivanti.",447 p.,3.7 405
Storia d'Italia : Atlante Pittura e cartografia,"Ruggiero Romano , Corrado Vivanti.",422 p.,1.7 104
"Storia d'Italia : Castelli, villaggi e città","Ruggiero Romano , Corrado Vivanti.",486 p.,1.7 100
Storia d'Italia : Dal primo Settecento all'Unità L'Illuminismo e il Risorgimento,"Ruggiero Romano , Corrado Vivanti.",693 p.,1.7 90
Storia d'Italia : Dal primo Settecento all'unità L'Italia e L'Europa,"Ruggiero Romano , Corrado Vivanti.",844 p.,1.7 91
Storia d'Italia : Dall'Unità a oggi Da contadini a operai,"Ruggiero Romano , Corrado Vivanti.",506 p.,1.7 92
Storia d'Italia : Dall'Unità a oggi Dall'Italia fascista all'Italia repubblicana,"Ruggiero Romano , Corrado Vivanti.",710 p.,1.7 97
Storia d'Italia : Dall'Unità a oggi Dalla grande guerra al '68,"Ruggiero Romano , Corrado Vivanti.",350 p.,1.7 95
Storia d'Italia : Dall'Unità a oggi Letteratura e sviluppo della nazione,"Ruggiero romano , Corrado Vivanti.",489 p.,1.7 94
Storia d'Italia : Dall'Unità a oggi Lo stato liberale,"Ruggiero Romano , Corrado Vivanti.",432 p.,1.7 96
"Storia d'Italia : Dall'Unità a oggi Un popolo di Eroi, di emigranti, di artisti","Ruggiero Romano , Corrado Vivanti.",308 p.,1.7 93 Scansionato con CamScanner
Storia d'Italia : Dalla caduta dell'Impero romano al secolo XVIII Il pensiero l'arte la letteratura,"Ruggiero Romano , Corrado Vivanti.",383 p.,"1.7 88 {M]-Storia d'Italia : Dalla caduta dell'Impero romano al secolo XVIII L'economia delle tre Italie / Ruggiero Romano , Corrado Vivanti. - Milano : Il Sole 24 ore s.p.a,2005. - 891 p. ; 20 cm. 1.7 89"
}-Storia d'Italia : Dalla caduta dell'Impero romano al secolo XVIII L'Italia religiosa,"Ruggiero Romano , Corrado Vivanti.",649 p.,1.7 87
Storia d'Italia : Dalla caduta dell'Impero romano al secolo XVIII La società medievale e le corti del Rinascimento,"Ruggiero Romano , Corrado Vivanti.",427 p.,1.7 86
Storia d'Italia : Guerra e pace Il mestiere delle armi : da cavalieri a soldati,"Ruggiero Romano , Corrado Vivanti.",414 p.,DL. 112
Storia d'Italia : Guerra e pace L'elmo di Scipio.Dall'Unità alla Repubblica,"Ruggiero Romano , Corrado Vivanti.",533 p.,1.7 113
Storia d'Italia : I caratteri originali Il Territorio e L'Ambiente,"Ruggiero Romano , Corrado Vivanti.",397 p.,1.7 98
Storia d'Italia : I caratteri originali Politica e Cultura,"ruggiero Romano , Corrado Vivanti.",662 p.,1.7 99
Storia d'Italia : I documenti Gente d'Italia : costumi e vita quotidiana,"Ruggiero Romano , Corrado Vivanti.",540 p.,1.7 101
Storia d'Italia : I documenti Il mondo dei dotti e le tradizioni popolari,"Ruggiero Romano , Corrado Vivanti.",577 p.,1.7 102
Storia d'Italia : I documenti Istituzione e società civile,"Ruggiero Romano , Corrado Vivanti.",556 p.,1.7 103
Storia d'Italia : I professionisti,"Ruggiero Romano , Corrado Vivanti.",781 p.,1.7 110 Scansionato con CamScanner
Storia d'Italia : Insediamenti e territorio,"Ruggiero Romano , Corrado Vivanti.",691 p.,1.7 111
Storia d'Italia : L'Industria I problemi dello sviluppo economico,"Ruggiero Romano , Corrado Vivanti.",616 p.,1.7 106
Storia d'Italia : L'Industria Imprenditori e imprese,"Ruggiero Romano , Corrado Vivanti.",620 p.,1.7 107
Storia d'Italia : La Chiesa e il potere politico Chierici e laici dal Medioevo alla Controriforma,"Ruggiero Romano , Corrado Vivanti.",572 p.,1.7 108
"Storia d'Italia : La Chiesa e il potere politico Santa Sede, clero e organizzazioni cattoliche","Ruggiero Romano , Corrado Vivanti.",465 p.,"1.7 109[M]-Storia d'Italia : Legge diritto e giustizia I corpi e la legge / Ruggiero Romano , Corrado Vivanti. - Milano : Il Sole 24 ore s.p.a,2005. - 484 p. ; 20 cm. 1.7 115"
"Storia d'Italia : Legge diritto e giustizia I diritti, il mercato, la pubblica amministrazione","Ruggiero Romano , Corrado Vivanti.",707 p.,1.7 114
Storia della filosofia : Il pensiero contemporaneo : dagli sviluppi del Marxismo allo Strutturalismo,Nicola Abbagnano.,710 p.,1.7 79
Storia della filosofia : Il pensiero contemporaneo : dai pensatori ebraici al post-Strutturalismo,Nicola Abbagnano.,660 p.,1.7 81
Storia della filosofia : Il pensiero contemporaneo : dall'Ermeneutica alla Filosofia analitica,"Nicola Abbagnano. Novara : Istituto geografico De Agostini,2006.",662 p.,1.7 80
Storia della filosofia : Il pensiero contemporaneo : Dizionario di Filosofia A-ESO.,Nicola Abbagnano.,782 p.,1.7 83
Storia della filosofia 3 Il pensiero contemporaneo : Dizionario di Filosofia ESP-OPP,Nicola Abbagnano.,788 p.,1.7 84
Storia della filosofia : Il pensiero contemporaneo : Dizionario di Filosofia ORA-2Z,Nicola Abbagnano.,788 p.,1.7 85 Scansionato con CamScanner
Storia della filosofia : Il pensiero contemporaneo : il dibattito attuale.,Nicola Abbagnano.,,1.7 82
Storia della filosofia : Il pensiero greco e cristiano : dai presocratici alla scuola di Chartres,Nicola Abbagnano.,730 p.,1.7 74
Storia della filosofia : Il pensiero medievale e rinascimentale : dal Misticismo a Bacone,Nicola Abbagnano.,758 p.,1.7 75
Storia della filosofia : Il pensiero moderno : da Cartesio a Kant,Nicola Abbagnano.,758 p.,1.7 76
Storia della filosofia : Il pensiero moderno : dal Romanticismo a Nietzsche,"Nicola Abbagnano..- Novara : Istituto geografico De Agostini,2006.",686 p.,1.7 77
Storia della filosofia : Verso il pensiero contemporaneo dallo Spiritualismo all'Esistenzialismo,Nicola Abbagnano.,758 p.,1.7 78 Scansionato con CamScanner MANUALI 1.9
Aerografo fotoritocco,Peter Qwen.,,1.9 16
Ceramica,Nino Caruso.,579 p.,1.9 5
Ceramica viva,Nino Caruso.,353 p.,1.9 20
Enciclopedia del legno,Aidan Walker.,191 p.,
-Espressione gestualità,Roberto Timelli.,173 p.,1.9 18
Grafica e stampa,Giorgio Fioravanti.,206 p.,1.9 10
Graphic designer,Bob Cotto.,,1.9 8
"Guida al gioco creativo con la carta,il legno, la creta",Luigi Nervo.,164 p.,"1,9 15"
Guida per l'artista e l'operatore dello spettacolo,Lello Sorrentino.,346 p.,1.9 21
-Il ceramista,Emilio Martinotti.,300 p.,1.9 13
Il grande libro degli attrezzi,S. Clark Pi D.Lyman.,267 p.,1.97
Il manuale del desktop publishing,David Hewson 1 (et al).,272 p.,1.9 1
Il manuale del grafico,Giorgio Fioravanti.,208 p.,1.9 11
Il manuale di giardinaggio,Christopher Brickell.,535 p.,1.9 25
Immagine e lettering,Philip Meggs.,190 p.,1.9 14
L'arte del restauro,Gino Piva.,435 p.,1.9 17 Scansionato con CamScanner
L'inquadratura,Daniela Brambilla.,158 p.,1.9 4
La famiglia e la scuola,"G.A. Brunelli , (et al).",11 p.,
Manuale della ceramica,Kenneth Clark.,206 p.,1.9 6
Sintassi della lingua italiana,Paolo Garigliano.,1023 p.,1.9 22
Sintassi della lingua italiana vol.II,Paolo Garigliano.,919 p.,1.9 23
Stampa d'arte,John Dawson.,160 p.,1.99
Storia dell'arte ceramica,"Carola Fiocco , (et al).",368 p.,1.9 2
Tracce segni caratteri,Martin Andersch.,255 p.,1.9 3
Tu sarai giornalista,Joseph Folliet.,209 p.,1.9 12 Scansionato con CamScanner FILOSOFIA 2.1
Aeropagitica : discorso per la libertà di stampa,John Milton.,117 p.,((I classici del pensiero libero)). 2.1 206
Aforismi sulla saggezza della vita,Arthur Schopenhauer.,275 p.,2.1 120
Al di là del bene e del male,Friedrich Nietzsche.,211 p.,2.1 94
Al mercato della felicità,Luisa Muraro.,171 p.,2.1 193
L'altro,Renaud Barbaras.,90 p.,"2,1 18"
Amore liquido,Zygmunt Bauman.,219 p.,2.1 250
Anatomia della distruttività statalista,Remo Sensoni.,233 p.,2.1. ‘122
Anelli nell'Io,Douglas Hofstadter.,508 p.,2.1 194
Antropologia filosofica,B. Groethuysen.,324 p.,2.1 49
Apologia di Socrate Critone,Platone.,240 p.,2.1 104
Artmedia : II rassegna internazionale di estetica dei media e della comunicazione,Istituto di Filosofia.,79 p.,2:13
Artmedia : III convegno internazionale di estetica dei media e della comunicazione,Università degli studi di Salerno.,92 p.,2.1 5
Artmedia : III convegno internazionale di estetica dei media e della comunicazione,Istituto di filosofia e storia della filosofia.,78 p.,2.1 4
Artmedia : Rassegna internazionale di estetica del video e della comunicazione,Mario Costa.,204 p.,2.1 28 Scansionato con CamScanner
aut aut : il coraggio della filosofia,"Pier Aldo Rovatti , (et al).",183 p.,"2,1 234"
Autobiografia,Giambattista Vico.,146 p.,2.1 156
}-Autorità e individuo,Bertrand Russell.,120 p.,((I classici del pensiero libero)). 2.1 219
Cento e uno ragionamenti,Alain.,248 p.,2.1 11
Comunità e valore nel pensiero di John Dewey,Francesco Coppola.,270 p.,2.1 248
Congetture e confutazioni vol.I,Karl R. Popper.,428 p.,2.1 109
Congetture e confutazioni vol.II,Karl R. Popper.,287 p.,2.1 110
Considerazioni di un impolitico,Thomas Mann.,528 p.,2.1 83
-Consigli ai politici,Plutarco.,215 p.,"2,1 108"
"Consumo, dunque sono",Zygmunt Bauman.,198 p.,2.1 191
Contro il nichilismo,Francesco Pagliaro.,149 p.,"2,1 101 {[M]-Contro la pena di morte / Victor Hugo. - Milano : RCA Quotidiani S.p.A., 2010. - 252 p. ; 19 cm. ((I classici del pensiero libero)). 2.1 223"
Critica della capacità di giudizio vol.I,Immanuel Kant.,310 p.,2.1 58
Critica della capacità di giudizio vol.II,Immanuel Kant.,474 p.,2.1 59
Critica della ragione pratica vol.II,Immanuel Kant.,408 p.,2.1 60
Critica della ragione pura vol.I,Immanuel Kant.,233 p.,2.1 61 Scansionato con CamScanner
Critica della ragione pura vol.II,Immanuel Kant.,551 p.,i 2.1 62
Cronache di filosofia italiana (1900 -1943),"Eugenio Garin,",532 p.,2.1 46
Dalla teoria dei colori,J.W. Goethe.,140 p.,2.1 168
De delitti e delle pene,Cesare Beccaria.,98 p.,2.1 176
De senectute,Norberto Bobbio.,200 p.,"2,1 21"
Decadenza di una civiltà,Ugo Lo Bosco.,44 p.,2.1 73
Dei delitti e delle pene,Cesare Beccaria.,159 p.,((I classici del pensiero libero)). 2.1 208
Dei delitti e delle pene,Cesare Beccaria.,,2.1 19
Dei doveri dell'uomo,Giuseppe Mazzini.,149 p.,
Della natura,Lucrezio.,239 p.,2.1 78
Derive del desiderio e metamorfosi del soggetto,Fernando Iannetti.,207 p.,2.1 246
"Dialogo tra un filosofo, un giudeo e un cristiano",Pietro Abelardo.,177 p.,2.1 9
Diario del seduttore,Soeren Kierkegaard.,177 p.,2.1 64
Discorso del metodo,René Descartes.,120 p.,((I classici del pensiero libero)). 2.1 215
Dizionario di bioetica,Fugenio Le Caldano.,339 p.,2.1 172
Dizionario filosofico vol.I,Voltaire.,306 p.,2.1 129 Scansionato con CamScanner
Dizionario filosofico vol.II,Voltaire.,357 p.,2.1 130
La dotta ignora nza,Nicola Cusano.,231 p.,2.1 31
Ebrei e pregiudizio,Riccardo Calimani.,284 p.,2.1 169
Elogio del dubbio,"Peter Berger , Anton Zijderveld.",152 p.,2.1 235
Elogio della follia,Erasmo da Rotterdam.,180 p.,((I classici del pensiero libero)). 2.1 209
Elogio della pazzia,Erasmo da Rotterdam.,143 p.,2.1 40
Emilio o dell'educazione vol.I,Jean-Jacques Rousseau.,433 p.,Zi Li
Emilio o dell'educazione vol.II,Jean-Jacques Rousseau.,336 p.,"2,1 115"
Esempi di generosità,Niccolò Tommaseo.,318 p.,2.1 164
Esistenza e,è ragione? / Aldo Maria Musu.,113 p.,2.1 92
Esperienza e valore nel pensiero di John Dewey,Francesco Coppola.,142 p.,2.1 249
Essere e divenire,Ugo Lo Bosco,209 p.,2.1 74
Estetica vol.I,Benedetto Croce.,190 p.,
Estetica vol.II,Benedetto Croce.,432 p.,2.1 30
Etica della conoscenza,Angelo Giubileo.,72 p.,2.1 143
Etica e politica : modelli a confronto,"Giuseppe Cantillo , Anna Donise.",225 p.,2.1 236
Etica nicomachea vol.II,Aristotele.,381 p.,2.1 12 Scansionato con CamScanner
Etica per un figlio,Fernando Savater.,113 p.,2.1 116
Fedone,Platone.,276 p.,2.1 105
Fedro,Platone.,109 p.,2.1 106
Fenomenologia dello spirito vol.I,Friedrich Hegel.,364 p.,"2,1 50"
Fenomenologia dello spirito vol.II,Friedrich Hegel.,305 p.,2.1 51
Filosofia del mito politico,Chiara Bottici.,313 p.,2.1 237
Filosofia dell'arte,Friedrich Schelling.,400 p.,2.1 118
Frammenti,Novalis.,414 p.,2.1 97
Genealogia della morale,Friedrich Nietzsche,172 p.,2.1 96
Gli equivoci dell'anima,Umberto Galimberti.,284 p.,2.1 137
Gorgia Cratilo,Platone.,375 p.,2.1 107
I dialoghi,Confucio.,94 p.,2.1 26
I dilemmi del corpo,Salvatore Obinu.,119 p.,2.1 98
I filosofi e i selvaggi 1580-1780,Sergi Landucci.,501 p.,2.1 66
I grandi pensatori,Armando Carlini.,143 p.,2.1 145
I mondi comunque possibili,Franca D' Agostini.,363 p.,2.1 240
I <<passages>> di Parigi : volume primo,Walter Benjamin.,606 p.,2.1 188
I <<passages>> di Parigi : volume secondo,Walter Benjamin.,575 p.,2.1 189 Scansionato con CamScanner
I pensieri,Blaise Pascal.,638 p.,2.1 161
I presocratici : testimonianze e frammenti da Talete a Empedocle,Alessandro Lami.,418 p.,2.11
I problemi della filosofia della storia,George Simmel.,168 p.,2.1 123
Il capitale,Karl Marx.,1528 p.,2.1 85
Il capitalismo ha i secoli contati,Giorgio Ruffolo.,295 p.,2.1 185
Il caso Eluana Englaro,Maurizio Mori.,244 p.,( (prefazione di Beppino Englaro)). 2.1 200
Il contratto sociale,Jean,196 p.,({I classici del pensiero libero)). i 2.1 205
Il crepuscolo della ragione,Orietta Ombrosi.,171 p.,2.1 254
Il desiderio,Chantal Jacquet.,100 p.,2.1 55
Il difensore della pace,Marsilio da Padova.,757 p.,2.1 84
Il discorso preliminare all'enciclopedia,Jean Baptiste D'Alembert.,137 p.,"2,1 32"
Il dominio maschile,Pierre Bourdieu.,151 p.,2 233
Il futuro della democrazia,Norberto Bobbio.,231 p.,((I classici del pensiero libero)). 2.1 230
Il giudizio degli altri,Arthur Schopenhauer.,96 p.,((I classici del pensiero libero)). 2.1 224
Il grande mistero,Ugo Lo Bosco.,69 p.,2.1 140 Scansionato con CamScanner
Il libero arbitrio,Erasmo da Rotterdam,252 p.,2.1 41
Il mondo come io lo vedo,Alber Finstein.,119 p.,((I classici del pensiero libero)). 2.1 222
Il pensiero politico di Antonio Labriola,Aldo Matano.,,2.1 86
Il principe,Niccolò Machiavelli.,133 p.,2.1 80
Il problema della conoscenza,Alfred y. Ayer.,240 p.,2.1 16
Il processo del metodo,Ugo Lo Bosco.,99 p.,2.1 141
Il racconto del pellegrino,Ignazio Loyola.,108 p.,2.1 77
Il riso,Henri Bergson.,171 p.,2.1 20
Il secondo trattato sul governo,John Locke.,200 p.,((I classici del pensiero libero)). 2.1 218
Il Sessantotto realizzato da Mediaset,Valerio Magrelli.,,2.1 245
Interrogativi filosofici,Antonio Giordano.,273 p.,2.1 47
Io dirò la verità,Guido del Giudice.,134 p.,2.1 243
"Io non cerco, trovo",Simona Chiodo.,254 p.,2.1 244
L'anima e il suo destino,Vito Mancuso.,323 p.,"2,1 198"
L'antico regime e la rivoluzione,"Alexis de Tocqueville,",256 p.,
L'antinovecento,Marcello Veneziani.,280 p.,2.1 126 Scansionato con CamScanner
L'arte del vivere,Lucio Anneo Seneca.,102 p.,"2,1 135"
L'electro sapiens,Ugo Lo Bosco.,57 p.,2.1 139
L'essenza del cristianesimo,Ludwig Feuerbach.,416 p.,2.1 44
L'estetica della comunicazione,Costa Mario.,178 p.,2.1 6
L'età dei diritti,Norberto Bobbio.,266 p.,2.1 186
L'etica protestante e lo spirito del capitalismo,Maz Weber.,155 p.,((I classici del pensiero libero)). 2.1 212
L'illuminismo dei Rosa-Croce,Frances A. Yates.,318 p.,2.1 134
L'isola deserta e altri scritti,Gilles Deleuze.,380 p.,2.1 196
L'occhio elettronico,David Lyon.,326 p.,2.1 79
L'origine della specie,Charles Darwin.,403 p.,2.1 36
L'origine della specie,Charles Darwin.,152 p.,((I classici del pensiero libero)). 2.1 213
L'uomo di lettere difeso ed emendato,Daniello Bartoli.,283 p.,2.1 163
La città del sole,Tommaso Campanella.,116 p.,((I classici del pensiero libero)). 2.1 231
La città del sole,Tommaso Campanella.,335 p.,2.1 23
La città del sole - Utopia,"Tommaso Campanella , Thomas Moore.",335 p.,2.1 23
La conoscenza di Dio,Tommaso D'Acquino.,207 p.,2.1 34 Scansionato con CamScanner
La consolazione della filosofia,Anicio Boezio.,231 p.,"i 2,1 22"
La conversazione necessaria,Sherry Turkle.,447 p.,2.1 255
La coscienza,Andrè Ouzoulias.,107 p.,2.1 100
La coscienza,Michele Di Francesco.,130 p.,2.1 147
La disobbedienza civile,Henry David Thoreau.,99 p.,((I classici del pensiero libero)). 2.1 210
La filosofia italiana fra le due guerre,Ugo Lo Bosco.,61 p.,2.1 75
La giustizia,Gerard Potdevin.,117 p.,2.1 111
La Libertà,Ludovico Geymonat.,133 p.,2.1 184
La libertà,John Stuart Mill.,138 p.,((I classici del pensiero libero)). 2.1 207
"La libertà degli antichi, paragonata a quella dei moderni",Benjamin Constant.,77 p.,((I classici del pensiero libero)). 2.1 229
La libertà della vita,"Giulio Giorello , Umberto Veronesi.",115 p.,2.1 187
La mente e le menti,Daniel C. Dennet.,199 p.,2.1 174
La mente e le menti,"Daniel Ci, Dennet.",199 p.,2.1 174B
La metafisica vol.I,Aristotele.,457 p.,2.1 13
La metafisica vol.II,Aristotele.,257 p.,"2,1 14"
La missione del dotto,Johanne Fichte.,114 p.,2.1 45 Scansionato con CamScanner
La monadologia,Gottfried W. Leibniz.,198 p.,2.1 67
La morale dei greci,Arthur W.H. Adkins.,515 p.,"2,1 10"
La questione civile,Roberta De Monticelli.,156 p.,2.1 238
La ricchezza della ragione,Amartya K. Sen.,124 p.,2.1 153
La ricchezza delle nazioni,Adam Smith.,173 p.,"((I classici del pensiero libero)). 2,1 214"
"La scienza come professione, la politica come professione",Max Weber.,121 p.,del 203
La scienza nuova vol.I,Gianbattista Vico.,391 p.,
La scienza nuova vol.II,Gianbattista Vico.,322 p.,2.1 128
La scrittura e la differenza,Jacques Derrida.,390 p.,2.1 195
La sindrome dinastica,Franco Ferrarotti.,125 p.,2.1 43
La via lattea,"Piergiorgio Odifreddi , Sergio Valzania.",131 p.,2.1 201
La vita di ogni giorno,Leonardo Caffo.,122 p.,2.1 162
La volontà di sapere,Michel Foucault.,142 p.,2.1 146
Laocoonte,Gotthold E. Lessing.,366 p.,2.1 158
Le confessioni di un peccatore,Sant' Agostino.,95 p.,((I classici del pensiero libero)). 2.1 221
Le qgarzantine : Filosofia,Redazioni Garzanti.,1268 p.,2.1 149 Scansionato con CamScanner
Le gesta del Buddha,Asvaghosa.,274 p.,"2,1 15"
Le origini del totalitarismo,Hannah Arendt.,710 p.,2.1 241
Lettere persiane,Montesquieu.,364 p.,"2,1 91"
Leviatano vol.I,Thomas Hobbes.,361 p.,2.1 52
Leviatano vol.II,Thomas Hobbes.,341 p.,2.1 53
Lezioni e conversazioni,Ludwig Wittgenstein.,169 p.,2.1 133
Lo stato delle cose n.12,2000 / Redazione Lo stato delle cose.,160 p.,2.1 155
Lo stato delle cose n.13,2001 / Redazione Lo stato delle cose.,147 p.,2.1 170
Lo stato delle cose n.8,9 1999 / Redazione Lo stato delle cose.,142 p.,"2,1 142"
Ludwig Wittgenstein,Norman Malcom.,191 p.,2.1 81
Magia scienza religione,Stanley Jeyaraja Tambiah.,227 p.,2.1 2
Massime e riflessioni,Wolfgang Goethe.,249 p.,
Meditazioni cartesiane,Edmund Husserl.,,2.1 54
Modernità e tecnica,Antimo Negri.,316 p.,2.1 144
-Modernità liquida,Zygmunt Bauman.,272 p.,2.1 192
La morte e l'occidente,Michel Vovelle.,744 p.,2.1 154
Nel ventre della balena e altri saggi,George Orwell.,295 p.,((I classici del pensiero libero)) 2.1 232 Scansionato con CamScanner
Nuovo organo,Francis Bacon.,,"2,1 17"
Obbedienza e libertà,Vito Mancuso.,202 p.,"2,1 242"
-Operette morali,Giacomo Leopardi.,330 p.,2.1 72
-Opuscoli e lettere,Blaise Pascal.,222 p.,2.1 159
-Orme del sacro,Umberto Galimberti.,356 p.,2.1 151
-Osservazioni sul sentimento del bello e del sublime,Immanuel Kant.,137 p.,2.1 63
Panta rei,Luciano De Crescenzo.,,2.1 38
Pensare altrimenti,Diego Fusaro.,166 p.,2.1 157
Pensieri,Blaise Pascal.,236 p.,((I classici del pensiero libero)). 2.1 211
Pensieri,Montesquieu.,137 p.,((I classici del pensiero libero)). 2.1 226
